,SPY,AAPL,AMD,TSLA,AMZN,F,CCL,NVDA,T,META,INTC,BAC,AAL,GOOGL,MSFT,CMCSA,Date
326,265.9726563,67.52242279,56.97000122,49.75733185,119.6804962,4.22852993,12.22000027,71.52592468,17.41164207,178.0510864,53.00648117,20.50489235,11.06000042,63.05749893,168.8430328,33.98939133,20/04/2020
327,257.8968811,65.43530273,52.91999817,45.78133392,116.4059982,4.050219059,11.84000015,67.15539551,16.7877903,170.6189728,50.48065948,19.72114182,11,60.60800171,161.8600922,32.61922455,21/04/2020
328,263.6207275,67.32006073,55.91999817,48.8073349,118.1744995,4.050219059,11.64000034,71.30166626,16.56297874,182.0868073,53.83050919,19.86696053,10.27000046,62.92050171,167.3576813,32.63749695,22/04/2020
329,263.6018066,67.05915833,55.90000153,47.04199982,119.9725037,4.152110577,12.17000008,70.76843262,16.57983971,184.9337921,52.88108444,19.9307518,10.25,63.55849838,165.3322449,32.96634293,23/04/2020
330,267.2760925,68.99512482,56.18000031,48.3433342,120.5110016,4.135128021,11.90999985,72.15881348,16.69786072,189.8685608,53.07813644,20.21326256,10.31000042,63.83000183,168.3510742,33.94371796,24/04/2020
331,271.1298218,69.04390717,56.49000168,53.25,118.8000031,4.3898592,12.97999954,74.02516937,17.16434669,187.3012695,53.26623154,21.38887978,10.02000046,63.54299927,167.868866,34.90284348,27/04/2020
332,269.8830261,67.92474365,55.50999832,51.27466583,115.7040024,4.568171501,14.46000004,72.5998764,17.22616959,182.7161407,52.62134171,21.77163887,11.26000023,61.62950134,163.7794647,34.78409958,28/04/2020
333,276.9481506,70.15574646,53.65999985,53.36733246,118.635498,4.46627903,16.69000053,74.36902618,17.66455078,193.9841766,55.35316467,22.58272171,12.63000011,67.10900116,171.1288147,35.62446213,29/04/2020
334,274.3695679,71.63573456,52.38999939,52.12533188,123.6999969,4.321931839,15.89999962,72.82911682,17.12500572,204.493042,53.72302246,21.91744804,12.01000023,67.33499908,172.8456116,34.37305069,30/04/2020
335,267.1061096,70.48246002,49.88000107,46.75466537,114.302002,4.177582741,13.93000031,70.46194458,16.80464745,202.0556183,51.47487259,21.03345871,10.64000034,65.86599731,168.3703918,33.7793045,01/05/2020
336,267.8428345,71.47972107,52.56000137,50.74599838,115.7994995,4.126637459,14.34000015,72.58242798,16.63603783,205.0424347,51.94061279,20.89676094,9.819999695,66.14499664,172.4887695,33.08508682,04/05/2020
337,270.3175049,72.55255127,52.18999863,51.2140007,115.8899994,4.220039368,13.09000015,73.19291687,16.7147274,206.8505402,52.62134171,20.65070152,9.510000229,67.4509964,174.3405457,32.9297905,05/05/2020
338,268.4851074,73.30108643,52.15999985,52.17200089,117.5630035,4.135128021,12.81999969,74.2020874,16.18079758,208.2490387,53.30590057,20.36818886,9.25,67.27149963,176.0573425,32.09855652,06/05/2020
339,271.724884,74.05937958,51.95000076,52.00266647,118.3805008,4.135128021,13.52999973,75.96625519,16.23700142,211.036087,53.29689407,20.81474304,9.539999962,68.46399689,177.0797272,32.50048447,07/05/2020
340,276.2208557,75.82212067,53.18999863,54.62799835,118.9804993,4.449296474,14.21000004,77.8674469,16.74282455,212.124939,53.74726486,21.48001099,10.14000034,69.21700287,178.1213684,33.36825562,08/05/2020
341,276.2775269,77.01521301,55.74000168,54.08599854,120.4499969,4.34740448,13.85000038,80.38912201,16.51239014,212.9540405,54.16160583,20.57779884,10.10000038,70.17949677,180.1082153,33.03027344,11/05/2020
342,270.7709351,76.13505554,53.75999832,53.96066666,117.8475037,4.22852993,13.18999958,77.76777649,16.23700142,209.8773193,52.59431839,19.9307518,9.649999619,68.75900269,176.0284119,32.29038239,12/05/2020
343,265.9821472,75.21582031,52.18000031,52.73066711,118.3960037,4.007763863,12.26000023,77.54351807,15.78737259,204.8826294,52.00883865,19.01942444,9.109999657,67.41649628,173.3664246,31.94327927,13/05/2020
344,269.1651611,75.67787933,54.50999832,53.55533218,119.4424973,4.152110577,12.27000046,80.04026794,16.06277275,206.5908051,53.21582031,19.78494072,9.149999619,67.84300232,174.1187286,32.66490555,14/05/2020
345,270.4024963,75.23046112,54.20000076,53.27799988,120.4889984,4.160601616,12.77999973,84.62759399,15.91102314,210.6564941,52.49522781,19.53888321,9.039999962,68.65299988,176.6553497,32.8110466,15/05/2020
346,278.638855,77.00296021,54.59000015,54.24200058,121.3130035,4.508733749,14.72000027,87.21403503,16.55173683,212.9640503,53.97244644,20.89676094,9.869999886,69.25900269,178.3432007,34.79323196,18/05/2020
347,275.7769165,76.55802155,55.47000122,53.86733246,122.4664993,4.500243187,14.10999966,87.76473236,16.27634239,216.6501312,54.30573273,20.24060249,9.640000343,68.72000122,177.1086426,34.90284348,19/05/2020
348,280.4618835,78.04694366,56.38999939,54.3706665,124.8970032,4.661572456,14.14999962,89.40428925,16.63042068,229.7262573,56.83681107,20.87853241,9.869999886,70.45800018,179.5652771,35.77975845,20/05/2020
349,278.5255737,77.46507263,54.65000153,55.17333221,122.336998,4.780446529,14.60000038,87.46321106,16.73158646,231.1447449,55.82798004,20.86942101,9.890000343,70.33750153,177.408493,35.57879257,21/05/2020
350,279.0544434,77.96380615,55.16999817,54.45866776,121.8440018,4.797429085,14.46000004,89.9649353,16.79340744,234.661026,56.08018494,20.65070152,9.699999809,70.66200256,177.4858398,35.38697433,22/05/2020
351,282.4926453,77.43570709,53.18999863,54.59133148,121.0930023,4.958758354,16.28000069,86.89009094,17.32171059,231.9538879,56.15224457,22.12705612,11.14000034,71.0684967,175.6095428,36.09946442,26/05/2020
352,286.6958313,77.77310944,52.74000168,54.68199921,120.5195007,5.1200881,17.23999977,84.97145081,17.90060616,228.8971405,57.25115204,23.6763134,11.97999954,71.01399994,175.8416595,36.47397614,27/05/2020
353,286.1669006,77.8073349,51.74000168,53.72066879,120.0550003,4.96724987,15.93000031,84.59024048,17.4566021,225.2210388,55.57577515,22.6556263,10.97999954,70.91200256,175.4451141,36.12686157,28/05/2020
354,287.4420471,77.73155975,53.79999924,55.66666794,122.1184998,4.84837532,15.73999977,88.46240997,17.3441925,224.8514252,56.68368912,21.98123932,10.5,71.6760025,177.234375,36.17253876,29/05/2020
355,288.6037598,78.6875,53.63000107,59.87333298,123.552002,4.984231472,16.79999924,87.77218628,17.38353539,231.6641998,55.71989441,22.42778969,11.10999966,71.74349976,176.8281555,36.70233154,01/06/2020
356,290.9934387,79.05175781,53.54000092,58.77066803,123.6204987,5.009704113,16.87000084,87.96156311,17.41725922,232.4733429,55.95407867,22.63739777,11.22000027,72.1155014,178.8399048,37.25041199,02/06/2020
357,294.8660583,79.48693085,52.72999954,58.86399841,123.9199982,5.255944252,17.25,87.40589905,17.70951271,229.9160614,55.78294373,23.68542671,11.85000038,71.96250153,179.275116,37.72539902,03/06/2020
358,294.0914612,78.80238342,52.63000107,57.62533188,123.0299988,5.578603745,18.47999954,87.4158783,17.87250328,226.0501556,56.7197113,24.5755806,16.71999931,70.71499634,176.9152069,37.71626282,04/06/2020
359,301.6289063,81.0467453,53.09999847,59.04399872,124.1500015,6.232412338,21.51000023,88.94651031,18.4176693,230.5254059,57.95373154,25.79610062,18.59000015,72.00099945,181.0547028,38.4470253,05/06/2020
360,305.2749329,81.52594757,52.97000122,63.32799911,126.2030029,6.393741608,24.90999985,87.79978943,18.67620277,231.1547394,57.35023117,26.19070625,20.30999947,72.40200043,182.1766357,39.38787842,08/06/2020
361,302.9985352,84.10037231,56.38999939,62.71133423,130.0429993,6.147501469,23.04000092,90.20293427,18.33336258,238.417038,56.78276443,25.89704704,18.54999924,72.60399628,183.5693512,38.50183105,09/06/2020
362,301.3077698,86.26408386,57.43999863,68.33666992,132.3724976,5.78238821,20.59000015,93.40132141,18.063591,236.4790955,57.53037643,24.41039658,17.02000046,73.23500061,190.3782654,37.78020859,10/06/2020
363,283.9377441,82.12248993,52.83000183,64.85600281,127.8980026,5.204998016,17.44000053,87.71253204,16.9563942,224.1921234,53.77428818,21.96018028,14.38000011,70.09500122,180.1552277,35.85283661,11/06/2020
364,287.3379822,82.83150482,53.5,62.35200119,127.2509995,5.485201836,19.97999954,89.07116699,17.14186668,228.337738,53.44102097,22.7402153,16.73999977,70.64600372,181.5769653,36.04465103,12/06/2020
365,290.0205994,83.85588837,54.68000031,66.05999756,128.6340027,5.519165993,19.44000053,91.47679901,17.14186668,232.2535706,54.1345787,23.07975578,16.70000076,71.03700256,182.7376099,36.38262177,15/06/2020
366,295.6028137,86.07826233,54.45999908,65.47533417,130.763504,5.561620235,20.42000008,90.42727661,17.29923439,235.400238,54.40481186,23.67625237,17.03000069,72.32350159,187.2156219,36.30955505,16/06/2020
367,294.3749084,85.95846558,54.54999924,66.11933136,132.048996,5.374818325,19.09000015,92.09753418,17.00697899,235.280365,54.48587036,22.94210434,16.97999954,72.6269989,187.8635864,35.82542801,17/06/2020
368,294.4882813,85.99269104,54.04000092,66.93066406,132.6990051,5.374818325,18.81999969,91.91803741,17.05756378,235.6899261,54.1165657,22.97881126,16.48999977,71.70600128,189.875351,36.02637863,18/06/2020
369,292.8052673,85.50126648,54.22999954,66.72666931,133.7505035,5.289908409,17.82999992,92.34931183,17.03507996,238.5368958,53.70223236,23.17152596,16,71.23200226,188.7437439,35.71580505,19/06/2020
370,294.6837158,87.73831177,54.75999832,66.28800201,135.6909943,5.332363129,17.22999954,94.99676514,16.92267418,238.9664612,54.12557983,22.59338379,14.92000008,72.53299713,193.9858246,35.11294174,22/06/2020
371,296.0402832,89.61106873,53.99000168,66.78533173,138.2205048,5.221981049,18,94.23145294,17.00135803,241.9832611,53.97244644,22.74938965,14,73.1989975,195.2818451,35.80715942,23/06/2020
372,288.4887085,88.02924347,52.38999939,64.05666351,136.7200012,5.052159309,16,92.09254456,16.53487396,233.7719727,53.22483063,21.85005379,13.03999996,71.63500214,191.3453979,35.22254562,24/06/2020
373,291.5815125,89.19788361,51.93000031,65.73200226,137.7290039,5.1200881,16,94.63031769,16.70348358,235.430191,52.70239639,22.68515205,13.17000008,72.05500031,193.7633667,35.23168945,25/06/2020
374,284.6559753,86.45722961,50.09999847,63.98266602,134.6434937,5.018195152,15.77999973,91.28983307,16.34378242,215.8509827,51.79265594,21.24438858,12.38000011,68.1269989,189.8849945,35.30476379,26/06/2020
375,288.8396606,88.44975281,50.27999878,67.29000092,134.0189972,5.103105545,16.78000069,91.73855591,16.81027222,220.4061432,52.48622894,21.46462822,13.31999969,69.85849762,191.925766,35.56966782,29/06/2020
376,292.5396423,89.18810272,52.61000061,71.98733521,137.9409943,5.16254282,16.42000008,94.7075882,16.99011803,226.8293457,53.89138031,21.79499435,13.06999969,70.90249634,196.8293152,35.81775665,30/06/2020
